variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.293,7, 5.55e-17, 7.93e-18, 1.55e-17, 0.293 +  0 t, 1
OCNFRAC,fraction,0.67,7, 0.000569, 8.13e-05, 0.000159, 0.429 +  0.00012 t, 0.345
CLDHGH,fraction,0.331,7, 0.00197, 0.000281, 0.000551,-0.574 +  0.000452 t, 0.299
CLDLOW,fraction,0.39,7, 0.00261, 0.000372, 0.00073,-0.405 +  0.000398 t, 0.506
CLDMED,fraction,0.234,7, 0.00148, 0.000211, 0.000414, 1.05 + -0.000409 t, 0.198
CLDTOT,fraction,0.61,7, 0.00186, 0.000266, 0.000521,-0.773 +  0.000692 t, 0.0554
FLNS,W/m2,56.359,7, 0.245, 0.035, 0.069, 195.041 + -0.069 t, 0.185
FLNT,W/m2,240.213,7, 0.304, 0.043, 0.085, 245.975 + -0.003 t, 0.968
FLNTC,W/m2,261.887,7, 0.212, 0.030, 0.059, 219.641 +  0.021 t, 0.669
FSNS,W/m2,169.124,7, 0.435, 0.062, 0.122, 319.326 + -0.075 t, 0.447
FSNT,W/m2,244.593,7, 0.315, 0.045, 0.088, 337.962 + -0.047 t, 0.518
FSNTC,W/m2,285.684,7, 0.121, 0.017, 0.034, 214.274 +  0.036 t, 0.161
LHFLX,W/m2,85.300,7, 0.346, 0.049, 0.097, 79.305 +  0.003 t, 0.971
LWCF,W/m2,21.674,7, 0.144, 0.021, 0.040,-26.333 +  0.024 t, 0.464
OMEGA500,Pa/s,-3.68e-05,7, 3.79e-06, 5.42e-07, 1.06e-06, 0.00131 + -6.72e-07 t, 0.436
PBLH,m,701.984,7, 1.361, 0.194, 0.381, 401.732 +  0.150 t, 0.634
PRECL,m/s,1.96e-08,7, 1.93e-10, 2.76e-11, 5.41e-11,-1.06e-07 +  6.28e-11 t, 0.114
PRECT,m/s,3.41e-08,7, 1.39e-10, 1.98e-11, 3.89e-11, 3.23e-08 +  8.96e-13 t, 0.978
PRECSL,m/s,2.79e-09,7, 6.17e-11, 8.82e-12, 1.73e-11,-3.51e-08 +  1.89e-11 t, 0.143
PRECSC,m/s,4.65e-11,7, 4.65e-12, 6.64e-13, 1.3e-12,-3.01e-09 +  1.53e-12 t, 0.109
PRECSC,m/s,4.65e-11,7, 4.65e-12, 6.64e-13, 1.3e-12,-3.01e-09 +  1.53e-12 t, 0.109
PRECC,m/s,1.45e-08,7, 1.55e-10, 2.21e-11, 4.34e-11, 1.38e-07 + -6.19e-11 t, 0.0307
PS,Pa,98525.977,7, 1.889, 0.270, 0.529, 97923.067 +  0.302 t, 0.485
PSL,Pa,101109.772,7, 2.297, 0.328, 0.643, 101498.099 + -0.194 t, 0.717
QFLX,kg/m2/s,3.41e-05,7, 1.38e-07, 1.97e-08, 3.87e-08, 3.2e-05 +  1.05e-09 t, 0.974
SHFLX,W/m2,22.181,7, 0.103, 0.015, 0.029,-58.841 +  0.041 t, 0.035
SST,K,292.927,7, 0.079, 0.011, 0.022, 283.310 +  0.005 t, 0.796
SWCF,W/m2,-41.083,7, 0.332, 0.047, 0.093, 123.602 + -0.082 t, 0.258
TAUX,N/m2,-0.00623,7, 0.000775, 0.000111, 0.000217, 0.501 + -0.000254 t, 0.111
TAUY,N/m2,-0.00291,7, 0.000486, 6.94e-05, 0.000136,-0.114 +  5.56e-05 t, 0.621
TGCLDIWP,kg/m2,0.0118,7, 0.000146, 2.09e-05, 4.09e-05, 0.00962 +  1.09e-06 t, 0.975
TGCLDLWP,kg/m2,0.0491,7, 0.000622, 8.89e-05, 0.000174,-0.173 +  0.000111 t, 0.432
TMQ,kg/m2,24.174,7, 0.193, 0.028, 0.054,-36.643 +  0.030 t, 0.490
TREFHT,K,287.211,7, 0.098, 0.014, 0.027, 248.560 +  0.019 t, 0.380
TS,K,288.243,7, 0.097, 0.014, 0.027, 248.847 +  0.020 t, 0.365
U10,m/s,6.775,7, 0.021, 0.003, 0.006,-5.950 +  0.006 t, 0.140
ICEFRAC,fraction,0.0373,7, 0.000569, 8.13e-05, 0.000159, 0.278 + -0.00012 t, 0.345
RESTOM,W/m2,4.379,7, 0.412, 0.059, 0.115, 91.987 + -0.044 t, 0.647
